phyname	dN	dNse	dS	dSse	dNdS	genea1	genea1mvld
Mvsl_MvDv_A1pair_1190.results.txt	1.96793	1.07827	11.20804	20.14651	0.175582	MvSl-1064-A1-R4_MC01-1g01789	MvSlatifolia-1318-D-TG7-PbcR_C01g00094
Mvsl_MvDv_A1pair_1191.results.txt	1.58492	0.63455	1.91443	2.32073	0.827881	MvSl-1064-A1-R4_MC01-1g01790	MvSlatifolia-1318-D-TG7-PbcR_C01g00095
Mvsl_MvDv_A1pair_1192.results.txt	0.00000	0.00000	0.00001	0.00000	0	MvSl-1064-A1-R4_MC01-1g01791	MvSlatifolia-1318-D-TG7-PbcR_C01g00096
Mvsl_MvDv_A1pair_1193.results.txt	0.00000	0.00087	0.00001	0.00000	0	MvSl-1064-A1-R4_MC01-1g01792	MvSlatifolia-1318-D-TG7-PbcR_C01g00097
Mvsl_MvDv_A1pair_1194.results.txt	0.47989	0.28751	0.67501	0.83470	0.710938	MvSl-1064-A1-R4_MC01-1g01794	MvSlatifolia-1318-D-TG7-PbcR_C01g00101
Mvsl_MvDv_A1pair_1196.results.txt	0.22076	0.18090	1.24997	1.66371	0.176612	MvSl-1064-A1-R4_MC01-1g01796	MvSlatifolia-1318-D-TG7-PbcR_C01g00103
Mvsl_MvDv_A1pair_1198.results.txt	0.00000	0.14463	0.00000	0.00162	0	MvSl-1064-A1-R4_MC01-1g01798	MvSlatifolia-1318-D-TG7-PbcR_C01g00105
Mvsl_MvDv_A1pair_1199.results.txt	15.12332	46.99827	18.88693	77.51251	0.800729	MvSl-1064-A1-R4_MC01-1g01799	MvSlatifolia-1318-D-TG7-PbcR_C01g00106
Mvsl_MvDv_A1pair_12.results.txt	13.53492	8.24579	0.13672	0.52483	98.9974	MvSl-1064-A1-R4_A1g00017	MvSlatifolia-1318-D-TG7-PbcR_C03g03313
Mvsl_MvDv_A1pair_120.results.txt	0.73738	0.23966	51.52996	81.78270	0.0143097	MvSl-1064-A1-R4_A1g00154	MvSlatifolia-1318-D-TG7-PbcR_C03g03168
Mvsl_MvDv_A1pair_1200.results.txt	3.87617	3.38260	0.40950	0.63161	9.46562	MvSl-1064-A1-R4_MC01-1g01800	MvSlatifolia-1318-D-TG7-PbcR_C01g00107
Mvsl_MvDv_A1pair_1201.results.txt	0.32857	0.21277	0.85575	0.94240	0.383956	MvSl-1064-A1-R4_MC01-1g01801	MvSlatifolia-1318-D-TG7-PbcR_C01g00108
Mvsl_MvDv_A1pair_1202.results.txt	2.06703	1.09699	0.68255	0.53801	3.02839	MvSl-1064-A1-R4_MC01-1g01802	MvSlatifolia-1318-D-TG7-PbcR_C01g00109
