gene	rich1	rich2
MvSl-1064-A1-R4_A1g00430	461.722	507.676
MvSl-1064-A1-R4_A1g00431	132.067	202.75
MvSl-1064-A1-R4_A1g00432	6849	9383
MvSl-1064-A1-R4_A1g00433	1398	2194
MvSl-1064-A1-R4_A1g00434	214.526	182.414
MvSl-1064-A1-R4_A1g00435	144.117	160.467
MvSl-1064-A1-R4_A1g00436	947.585	1224.7
MvSl-1064-A1-R4_A1g00437	2.41193	2.8408
MvSl-1064-A1-R4_A1g00438	417.825	415.085
MvSl-1064-A1-R4_A1g00439	14.4054	3.26566
MvSl-1064-A1-R4_A1g00440	49.382	81.2792
MvSl-1064-A1-R4_A1g00441	1710.21	3119.12
MvSl-1064-A1-R4_A1g00442	82.9984	62.8881
MvSl-1064-A1-R4_A1g00443	80.4731	110.807
MvSl-1064-A1-R4_A1g00444	380.054	346.592
MvSl-1064-A1-R4_A1g00445	25	39
MvSl-1064-A1-R4_A1g00446	186.669	351.298
MvSl-1064-A1-R4_A1g00447	880.231	1241.81
MvSl-1064-A1-R4_A1g00448	3501	5512
MvSl-1064-A1-R4_A1g00449	0	0
MvSl-1064-A1-R4_A1g00450	66.4046	48
MvSl-1064-A1-R4_A1g00451	9.174	7.46034
MvSl-1064-A1-R4_A1g00452	852.73	909.433
MvSl-1064-A1-R4_A1g00453	1.19086	0
MvSl-1064-A1-R4_A1g00454	13.8207	11.3978
MvSl-1064-A1-R4_A1g00455	0	1
MvSl-1064-A1-R4_A1g00456	0	0
MvSl-1064-A1-R4_A1g00457	0	0
MvSl-1064-A1-R4_A1g00458	2088.1	1545.57
MvSl-1064-A1-R4_A1g00459	78.6774	76.0395
MvSl-1064-A1-R4_A1g00460	33.8045	53.7512
MvSl-1064-A1-R4_A1g00461	110.659	184.226
MvSl-1064-A1-R4_A1g00462	127.699	170.852
MvSl-1064-A1-R4_A1g00463	1196.17	1828.48
MvSl-1064-A1-R4_A1g00464	226.713	491.881
MvSl-1064-A1-R4_A1g00465	103.287	224.772
MvSl-1064-A1-R4_A1g00466	8.70725	9.56915
MvSl-1064-A1-R4_A1g00467	186.722	401.32
MvSl-1064-A1-R4_A1g00468	103.287	224.772
MvSl-1064-A1-R4_A1g00469	226.713	491.881
MvSl-1064-A1-R4_A1g00470	1196.17	1828.48
MvSl-1064-A1-R4_A1g00471	147.39	311.562
MvSl-1064-A1-R4_A1g00472	20.7783	20.4841
MvSl-1064-A1-R4_A1g00473	1	0
MvSl-1064-A1-R4_A1g00474	8	3.45188
MvSl-1064-A1-R4_A1g00475	19.6999	47.3473
MvSl-1064-A1-R4_A1g00476	361.442	770.825
MvSl-1064-A1-R4_A1g00477	288	432
MvSl-1064-A1-R4_A1g00478	2761.23	3649.41
MvSl-1064-A1-R4_A1g00479	5	11
MvSl-1064-A1-R4_A1g00480	8.05758	27.1875
MvSl-1064-A1-R4_A1g00481	88.3939	71.0293
MvSl-1064-A1-R4_A1g00482	657.752	1023.55
MvSl-1064-A1-R4_A1g00483	1.11679	0
MvSl-1064-A1-R4_A1g00484	6	0
MvSl-1064-A1-R4_A1g00485	1.02786	0
MvSl-1064-A1-R4_A1g00486	4	2
MvSl-1064-A1-R4_A1g00487	17.0384	20.0787
MvSl-1064-A1-R4_A1g00488	15.9613	27.3159
MvSl-1064-A1-R4_A1g00489	1281.06	1930.3
MvSl-1064-A1-R4_A1g00490	3034.38	4521.48
MvSl-1064-A1-R4_A1g00491	2837.77	3613.34
MvSl-1064-A1-R4_A1g00492	374.637	351.721
MvSl-1064-A1-R4_A1g00493	46.6032	47.5192
MvSl-1064-A1-R4_A1g00494	16	27
MvSl-1064-A1-R4_A1g00495	2702	4367
MvSl-1064-A1-R4_A1g00496	388.235	577.359
MvSl-1064-A1-R4_A1g00497	40.7887	60.4444
MvSl-1064-A1-R4_A1g00498	32.5727	25
MvSl-1064-A1-R4_A1g00499	0	0
MvSl-1064-A1-R4_A1g00500	221.028	199.803
MvSl-1064-A1-R4_A1g00501	0	1.50915
MvSl-1064-A1-R4_A1g00502	0	0
MvSl-1064-A1-R4_A1g00503	2199	2988
MvSl-1064-A1-R4_A1g00504	221	226
MvSl-1064-A1-R4_A1g00505	4676	11846
MvSl-1064-A1-R4_A1g00506	1806	2959
MvSl-1064-A1-R4_A1g00507	1350.12	1542.67
MvSl-1064-A1-R4_A1g00508	26	29
MvSl-1064-A1-R4_A1g00509	981	507
MvSl-1064-A1-R4_A1g00510	1142	1458
MvSl-1064-A1-R4_A1g00511	1982	3091
MvSl-1064-A1-R4_A1g00512	685	933
MvSl-1064-A1-R4_A1g00513	1710	1851
