gida1	A1_1	A1_2	A2_1	A2_2						
MvSl-1064-A1-R4_A1g01151	3.15996	2.64394	19.5883	10						
MvSl-1064-A1-R4_A1g00532	667	698	660	713						
MvSl-1064-A1-R4_A1g00929	4.07163	4.63033	27.4998	22.4284						
MvSl-1064-A1-R4_A1g00118	283.983	296.703	500.626	545.906						
MvSl-1064-A1-R4_A1g00530	2193	2237	2608	2450						
MvSl-1064-A1-R4_A1g00529	225	193	209	159						
MvSl-1064-A1-R4_A1g00528	100	139	156.881	171.288						
MvSl-1064-A1-R4_A1g00820	0	0	12.6462	0						
MvSl-1064-A1-R4_A1g00495	3892	3648	1030	1035						
MvSl-1064-A1-R4_A1g00840	1752	1914	2394	2683						
MvSl-1064-A1-R4_A1g00832	3152	3161	3860	3880						
MvSl-1064-A1-R4_A1g01440	2411	2186	2684	2763						
MvSl-1064-A1-R4_A1g01441	1444	1442	1599	1627						
MvSl-1064-A1-R4_A1g01442	2	4	8	3						
MvSl-1064-A1-R4_A1g01443	10.6789	9.83385	17.3625	12.0793						
MvSl-1064-A1-R4_A1g01444	40585	47903	51864	54027						
MvSl-1064-A1-R4_A1g01445	3573	3013	4053	3702						
MvSl-1064-A1-R4_A1g01446	696	592	986	866						
MvSl-1064-A1-R4_A1g01447	1199	1215	1718	1347						
MvSl-1064-A1-R4_A1g01448	100.662	78.9488	130.074	98.9213						
MvSl-1064-A1-R4_A1g01450	531	468	746	520						
MvSl-1064-A1-R4_A1g01451	707	891	853	973						
MvSl-1064-A1-R4_A1g01452	0	0	0	0						
MvSl-1064-A1-R4_A1g01453	3660	4211	5941	6685						
MvSl-1064-A1-R4_A1g01454	127	96	146	79						
MvSl-1064-A1-R4_A1g01455	199	148	240	97						
MvSl-1064-A1-R4_A1g01456	180	140	188	100						
MvSl-1064-A1-R4_A1g01457	218	181	233	165						
MvSl-1064-A1-R4_A1g01458	1950	2024	2096	2120						
MvSl-1064-A1-R4_A1g01459	0	1	2	0						
MvSl-1064-A1-R4_A1g01460	2087	2461	2648	2973						
MvSl-1064-A1-R4_A1g01461	1373	1570	1708	1651						
MvSl-1064-A1-R4_A1g01462	3470	3848	3243	3756						
MvSl-1064-A1-R4_A1g01463	3	0	2	1						
MvSl-1064-A1-R4_A1g01464	1	0	1	1						
MvSl-1064-A1-R4_A1g01465	216	139	173	109						
MvSl-1064-A1-R4_A1g01466	2004	1507	2234	2034						
MvSl-1064-A1-R4_A1g01467	976	849	1068	1115						
MvSl-1064-A1-R4_A1g01468	961	836	1252	1160						
MvSl-1064-A1-R4_A1g01469	20	14	28	25						
MvSl-1064-A1-R4_A1g01470	782	1250	857	1181						
MvSl-1064-A1-R4_A1g01471	1906	2059	2223	2282						
MvSl-1064-A1-R4_A1g01472	962	1230	1119	1257						
MvSl-1064-A1-R4_A1g01473	3587	5363	4731	5980						
MvSl-1064-A1-R4_A1g01474	30	37	53	35						
MvSl-1064-A1-R4_A1g01475	16	13	35	27						
MvSl-1064-A1-R4_A1g01476	410	370	538	463						
MvSl-1064-A1-R4_A1g01477	2554	2762	2667	3059						
MvSl-1064-A1-R4_A1g01478	27	23	19	18						
MvSl-1064-A1-R4_A1g01479	401	397	274	351						
MvSl-1064-A1-R4_A1g01480	58	39	33	53						
MvSl-1064-A1-R4_A1g01481	79	77	83	68						
MvSl-1064-A1-R4_A1g01482	57	50	57	55						
MvSl-1064-A1-R4_A1g01483	4.29985	0	0	1						
MvSl-1064-A1-R4_A1g01484	68	74	39	35						
MvSl-1064-A1-R4_A1g01485	2011	2725	2226	2490						
MvSl-1064-A1-R4_A1g01486	1346	1098	1909	1507						
MvSl-1064-A1-R4_A1g01487	11841	18433	10308	13417						
MvSl-1064-A1-R4_A1g01488	11506	12161	19665	19692						
MvSl-1064-A1-R4_A1g01489	1101	1422	1378	1616						
MvSl-1064-A1-R4_A1g01490	0	0	0	0						
MvSl-1064-A1-R4_A1g01491	1	0	0	1						
MvSl-1064-A1-R4_A1g01492	0	0	0	0						
MvSl-1064-A1-R4_A1g01493	3.18106	5	6	1						
MvSl-1064-A1-R4_A1g01494	1873.46	1544.67	2350.26	1798.75						
