gene	rich1	rich2	water1	water2	di1	di2
MvSl-1064-A2-R4_A2g00978	5.73948	1.04052	3.4784	1.04369	4.46949	2.13764
MvSl-1064-A2-R4_A2g00980	67.195	41.0735	150.535	202.767	69.1088	98.0376
MvSl-1064-A2-R4_A2g00984	0	1.06782	3.41164	2.20456	51.6979	25.3761
MvSl-1064-A2-R4_A2g00986	768	827	495	542	279	273
MvSl-1064-A2-R4_A2g00997	2355.62	1746.35	5978.77	7052.68	1083.76	1051
MvSl-1064-A2-R4_A2g01003	1	0	0	4	0	0
MvSl-1064-A2-R4_A2g01006	48.2036	38.0354	30.8309	49.0507	35.8949	33.0599
MvSl-1064-A2-R4_A2g01007	12.7993	18.0766	2.06598	7.29587	1.03556	0
MvSl-1064-A2-R4_A2g01011	8.96654	14.2921	11.6863	17.4102	5.44699	8.20763
MvSl-1064-A2-R4_A2g01013	39.199	21.3444	107.259	149.224	149.136	170.749
MvSl-1064-A2-R4_A2g01015	0	0	3.09726	3.02484	1.02839	1.01307
MvSl-1064-A2-R4_A2g01018	679.993	641.915	193.457	183.182	233.953	253.192
MvSl-1064-A2-R4_A2g01023	32.1129	46.1619	60.7493	70.2639	157.836	201.413
MvSl-1064-A2-R4_A2g01026	26	37	91.5062	160.247	41.9885	67.7027
MvSl-1064-A2-R4_A2g01030	826.016	968.164	65.9796	82.3456	73.0314	78.2051
MvSl-1064-A2-R4_A2g01034	373	349	327	556	197	152.652
MvSl-1064-A2-R4_A2g01035	117.004	144.371	186.503	258.968	86.8073	111.406
MvSl-1064-A2-R4_A2g01037	0	4	0	0	0	0
MvSl-1064-A2-R4_A2g01039	72.6978	74.8148	85.198	53.7956	140.82	71.1642
MvSl-1064-A2-R4_A2g01040	12.111	3.01944	46.2693	57.6037	28.171	21.2105
MvSl-1064-A2-R4_A2g01048	2	0	3	7	4	5
MvSl-1064-A2-R4_A2g01051	11.4201	25.6757	81.4568	44.1579	55.1158	118.724
MvSl-1064-A2-R4_A2g01054	4342.55	3271.51	27631.7	30761.1	3889.3	3933.88
MvSl-1064-A2-R4_A2g01055	2337.83	1577.21	8127.2	11922.2	1572.22	1272.11
MvSl-1064-A2-R4_A2g01056	240.655	293.42	4172.29	4679.43	876.283	986.502
MvSl-1064-A2-R4_A2g01057	12.191	26.6556	759.001	1198.22	113.04	90.5192
MvSl-1064-A2-R4_A2g01063	58.1246	57.2873	20.4787	27.7497	8.89954	5.88675
MvSl-1064-A2-R4_A2g01064	1.27725	18.2978	1.83099	17.6896	8.57989	0.842843
MvSl-1064-A2-R4_A2g01065	420.4	508.904	418.517	583.461	308.899	337.344
MvSl-1064-A2-R4_A2g01067	0	1	188	237	15	20
MvSl-1064-A2-R4_A2g01070	0	0	1.26173	0	0	0
MvSl-1064-A2-R4_A2g01071	19.469	20.6598	34.331	25.5695	3.69747	8.92107
MvSl-1064-A2-R4_A2g01074	0	0	6.6356	1.54215	3.04196	5.1827
MvSl-1064-A2-R4_A2g01076	39.2212	56.1228	183.306	105.646	67.3207	42.7861
MvSl-1064-A2-R4_A2g01078	2.01992	6.0982	0	4.73614	18.526	32.6518
MvSl-1064-A2-R4_A2g01082	3.00701	2.00176	0	1.00512	0	0
MvSl-1064-A2-R4_A2g01084	0	0	0	0	3.71397	2.73262
MvSl-1064-A2-R4_A2g01085	71	62	100	110	34.0071	41
MvSl-1064-A2-R4_A2g01086	2	0.5	7.63662	13.5189	419.72	459.663
MvSl-1064-A2-R4_A2g01087	726.619	586.404	2779.66	2737.74	1584.55	1663.75
MvSl-1064-A2-R4_A2g01088	2.54823	1.05767	4.42445	7.403	1.03557	5.87159
MvSl-1064-A2-R4_A2g01089	5.45457	4.01289	5.0107	6.11729	57.7023	72.9661
MvSl-1064-A2-R4_A2g01090	5.26663	8.54633	3.14651	5.64128	1.99389	0.750295
MvSl-1064-A2-R4_A2g01092	489.985	568.006	344.037	443.79	335.897	421.185
MvSl-1064-A2-R4_A2g01095	16	5	7	10	1	0
MvSl-1064-A2-R4_A2g01100	10.4776	45.2738	12.113	7.25603	12.7305	3.12835
MvSl-1064-A2-R4_A2g01101	0	0	0	1	0	1.05968
MvSl-1064-A2-R4_A2g01103	3	5.01284	7	8	21.2523	26.0243
