target_id	length	eff_length	est_counts	tpm	target_id	length	eff_length	est_counts	tpm	target_id	length	eff_length	est_counts	tpm	target_id	length	eff_length	est_counts	tpm
MvSl-1064-A1-R4_MC14g11820	345	95.5628	1123.91	283.315	MvSl-1064-A2-R4_MC14g12081	345	91.474	1279.26	252.958	MvSl-1064-A2-R4_MC14g12081	345	90.6277	1498.76	273.554	MvSl-1064-A2-R4_MC14g12081	345	91.474	1279.26	252.958
MvSl-1064-A1-R4_MC14g11821	852	530.955	5382	244.182	MvSl-1064-A2-R4_MC14g12082	852	517.94	6117	213.622	MvSl-1064-A2-R4_MC14g12082	852	521.993	7596	240.709	MvSl-1064-A2-R4_MC14g12082	852	517.94	6117	213.622
MvSl-1064-A1-R4_MC14g11822	2184	1861.01	2864	37.0725	MvSl-1064-A2-R4_MC14g12083	2184	1848	3127	30.6063	MvSl-1064-A2-R4_MC14g12083	2184	1852.77	3113	27.7925	MvSl-1064-A2-R4_MC14g12083	2184	1848	3127	30.6063
MvSl-1064-A1-R4_MC01-1g02268	3354	3031.01	3104	24.6696	MvSl-1064-A2-R4_MC01g02550	3354	3018	3012	18.0518	MvSl-1064-A2-R4_MC01g02550	3354	3022.77	3246	17.7629	MvSl-1064-A2-R4_MC01g02550	3354	3018	3012	18.0518
MvSl-1064-A1-R4_MC14g11823	1422	1099.01	1718.82	37.6753	MvSl-1064-A2-R4_MC14g12084	1422	1086	1680.3	27.986	MvSl-1064-A2-R4_MC14g12084	1422	1090.77	1933.39	29.3195	MvSl-1064-A2-R4_MC14g12084	1422	1086	1680.3	27.986
MvSl-1064-A1-R4_MC14g11824	213	38.048	0	0	MvSl-1064-A2-R4_MC14g12085	213	39.7549	0	0	MvSl-1064-A2-R4_MC14g12085	213	36.8038	0	0	MvSl-1064-A2-R4_MC14g12085	213	39.7549	0	0
MvSl-1064-A1-R4_MC14g11825	375	114.087	798.079	168.514	MvSl-1064-A2-R4_MC14g12086	375	107.724	1017.41	170.833	MvSl-1064-A2-R4_MC14g12086	375	109.489	910.189	137.51	MvSl-1064-A2-R4_MC14g12086	375	107.724	1017.41	170.833
MvSl-1064-A1-R4_MC14g11826	225	40.9694	146.521	86.1522	MvSl-1064-A2-R4_MC14g12087	225	43.0837	93.6583	39.3206	MvSl-1064-A2-R4_MC14g12087	225	40.3547	133.065	54.5433	MvSl-1064-A2-R4_MC14g12087	225	43.0837	93.6583	39.3206
MvSl-1064-A1-R4_MC14g11829	1461	1138.01	0	0	MvSl-1064-A2-R4_MC14g12090	1461	1125	0	0	MvSl-1064-A2-R4_MC14g12090	1461	1129.77	0	0	MvSl-1064-A2-R4_MC14g12090	1461	1125	0	0
MvSl-1064-A1-R4_MC14g11830	2904	2581.01	1381.82	12.897	MvSl-1064-A2-R4_MC14g12091	2904	2568	1897.47	13.3649	MvSl-1064-A2-R4_MC14g12091	2904	2572.77	1478.34	9.50485	MvSl-1064-A2-R4_MC14g12091	2904	2568	1897.47	13.3649
MvSl-1064-A1-R4_MC14g11831	258	52.2021	0	0	MvSl-1064-A2-R4_MC14g12092	258	52.7612	0	0	MvSl-1064-A2-R4_MC14g12092	258	49.7159	0	0	MvSl-1064-A2-R4_MC14g12092	258	52.7612	0	0
MvSl-1064-A1-R4_MC14g11832	474	186.184	54	6.98682	MvSl-1064-A2-R4_MC14g12093	474	176.848	33	3.37521	MvSl-1064-A2-R4_MC14g12093	474	178.035	31	2.88023	MvSl-1064-A2-R4_MC14g12093	474	176.848	33	3.37521
MvSl-1064-A1-R4_MC14g11833	5001	4678.01	4230	21.7824	MvSl-1064-A2-R4_MC14g12094	5001	4665	4069	15.7769	MvSl-1064-A2-R4_MC14g12094	5001	4669.77	2972	10.5275	MvSl-1064-A2-R4_MC14g12094	5001	4665	4069	15.7769
MvSl-1064-A1-R4_MC14g11834	963	640.338	1012	38.0714	MvSl-1064-A2-R4_MC14g12095	963	627.134	1154	33.2837	MvSl-1064-A2-R4_MC14g12095	963	631.839	1334	34.9238	MvSl-1064-A2-R4_MC14g12095	963	627.134	1154	33.2837
MvSl-1064-A1-R4_MC01-1g02269	648	336.711	885	63.3159	MvSl-1064-A2-R4_MC01g02551	648	324.717	979	54.5335	MvSl-1064-A2-R4_MC01g02551	648	327.358	1281	64.7289	MvSl-1064-A2-R4_MC01g02551	648	324.717	979	54.5335
MvSl-1064-A1-R4_MC14g11835	1242	919.009	9	0.235912	MvSl-1064-A2-R4_MC14g12096	1242	906.004	14	0.279501	MvSl-1064-A2-R4_MC14g12096	1242	910.773	20	0.363238	MvSl-1064-A2-R4_MC14g12096	1242	906.004	14	0.279501
MvSl-1064-A1-R4_MC14g11836	993	670.009	6868	246.932	MvSl-1064-A2-R4_MC14g12097	993	657.004	7641	210.362	MvSl-1064-A2-R4_MC14g12097	993	661.773	6340	158.472	MvSl-1064-A2-R4_MC14g12097	993	657.004	7641	210.362
MvSl-1064-A1-R4_MC14g11837	144	17.7403	195	264.79	MvSl-1064-A2-R4_MC14g12098	144	17.6867	203	207.603	MvSl-1064-A2-R4_MC14g12098	144	18.5797	222	197.645	MvSl-1064-A2-R4_MC14g12098	144	17.6867	203	207.603
MvSl-1064-A1-R4_MC14g11838	537	238.273	528	53.3811	MvSl-1064-A2-R4_MC14g12099	537	227.83	580	46.0471	MvSl-1064-A2-R4_MC14g12099	537	229.144	723	52.1916	MvSl-1064-A2-R4_MC14g12099	537	227.83	580	46.0471
MvSl-1064-A1-R4_MC14g11839	3258	2935.01	6576	53.9734	MvSl-1064-A2-R4_MC14g12100	3258	2922	8195	50.7287	MvSl-1064-A2-R4_MC14g12100	3258	2926.77	6379	36.0525	MvSl-1064-A2-R4_MC14g12100	3258	2922	8195	50.7287
MvSl-1064-A1-R4_MC14g11840	1317	994.009	68.5108	1.66034	MvSl-1064-A2-R4_MC14g12101	1317	981.004	114.561	2.11227	MvSl-1064-A2-R4_MC14g12101	1317	985.773	102.28	1.71626	MvSl-1064-A2-R4_MC14g12101	1317	981.004	114.561	2.11227
MvSl-1064-A1-R4_MC14g11841	732	415.639	2805	162.571	MvSl-1064-A2-R4_MC14g12102	732	402.186	3346	150.482	MvSl-1064-A2-R4_MC14g12102	732	405.368	3578	146.003	MvSl-1064-A2-R4_MC14g12102	732	402.186	3346	150.482
