aa	bb	cc	dd	ee	target_id	A2_1	A2_2
MvSl-1064-A1-R4_A1g00869	MvSl-1064-A2-R4_A2g00351	MvSl-1064-A1-R4_A1g00869	11360	19059	MvSl-1064-A2-R4_A2g00351	8826	11372
MvSl-1064-A1-R4_A1g00405	MvSl-1064-A2-R4_A2g00365	MvSl-1064-A1-R4_A1g00405	453	729	MvSl-1064-A2-R4_A2g00365	443	477
MvSl-1064-A1-R4_A1g00404	MvSl-1064-A2-R4_A2g00366	MvSl-1064-A1-R4_A1g00404	145	135	MvSl-1064-A2-R4_A2g00366	206	209
MvSl-1064-A1-R4_A1g00403	MvSl-1064-A2-R4_A2g00367	MvSl-1064-A1-R4_A1g00403	2207	2503	MvSl-1064-A2-R4_A2g00367	1871	2006
MvSl-1064-A1-R4_A1g00402	MvSl-1064-A2-R4_A2g00368	MvSl-1064-A1-R4_A1g00402	1876	1563	MvSl-1064-A2-R4_A2g00368	2120	1459
MvSl-1064-A1-R4_A1g00401	MvSl-1064-A2-R4_A2g00369	MvSl-1064-A1-R4_A1g00401	2470	4599	MvSl-1064-A2-R4_A2g00369	2297	4021
MvSl-1064-A1-R4_A1g00400	MvSl-1064-A2-R4_A2g00370	MvSl-1064-A1-R4_A1g00400	749	633	MvSl-1064-A2-R4_A2g00370	468	281
MvSl-1064-A1-R4_A1g00399	MvSl-1064-A2-R4_A2g00371	MvSl-1064-A1-R4_A1g00399	3696	5936	MvSl-1064-A2-R4_A2g00371	4278	6949
MvSl-1064-A1-R4_A1g00398	MvSl-1064-A2-R4_A2g00372	MvSl-1064-A1-R4_A1g00398	4921	5722	MvSl-1064-A2-R4_A2g00372	5099	5891
MvSl-1064-A1-R4_A1g00397	MvSl-1064-A2-R4_A2g00373	MvSl-1064-A1-R4_A1g00397	9260	13503	MvSl-1064-A2-R4_A2g00373	10546	13421
MvSl-1064-A1-R4_A1g00396	MvSl-1064-A2-R4_A2g00374	MvSl-1064-A1-R4_A1g00396	3433	4234	MvSl-1064-A2-R4_A2g00374	3588	4209
MvSl-1064-A1-R4_A1g00395	MvSl-1064-A2-R4_A2g00375	MvSl-1064-A1-R4_A1g00395	6198	5924	MvSl-1064-A2-R4_A2g00375	5775	5746
MvSl-1064-A1-R4_A1g00394	MvSl-1064-A2-R4_A2g00376	MvSl-1064-A1-R4_A1g00394	1186	1763	MvSl-1064-A2-R4_A2g00376	1448	1903
MvSl-1064-A1-R4_A1g00393	MvSl-1064-A2-R4_A2g00377	MvSl-1064-A1-R4_A1g00393	2	1	MvSl-1064-A2-R4_A2g00377	3	2
MvSl-1064-A1-R4_A1g00392	MvSl-1064-A2-R4_A2g00378	MvSl-1064-A1-R4_A1g00392	1	0	MvSl-1064-A2-R4_A2g00378	3	2
MvSl-1064-A1-R4_A1g00391	MvSl-1064-A2-R4_A2g00379	MvSl-1064-A1-R4_A1g00391	1763	1597	MvSl-1064-A2-R4_A2g00379	2081	1963
MvSl-1064-A1-R4_A1g00390	MvSl-1064-A2-R4_A2g00380	MvSl-1064-A1-R4_A1g00390	678	623	MvSl-1064-A2-R4_A2g00380	745	722
MvSl-1064-A1-R4_A1g00389	MvSl-1064-A2-R4_A2g00383	MvSl-1064-A1-R4_A1g00389	546	496	MvSl-1064-A2-R4_A2g00383	536	501
