gene	youngold		dn	dnse	ds	dsse	dnds	start	end	logCPM	logFC.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	DE	haploid 
MvSl-1064-A1-R4_MC12g11240	Auto	Auto	0.00248	0.00144	0.00418	0.00299	0.593287	1252611	1253256	7.075825302	-0.601774922	0.20660195	6.402138641	7.019706637	7.576309298	7.06977416	NON	A1
MvSl-1064-A1-R4_MC04-1g05336	Auto	Auto	0.00416	0.00418	0.00004	0.00019	103.741	96799	97188	9.762338527	0.799907575	0.213519721	9.698915281	10.42563561	9.378137374	9.233738443	NON	A1
MvSl-1064-A1-R4_MC10-2g10088	Auto	Auto	0.0036	0.00363	0.0114	0.01157	0.315787	660924	663894	3.521728508	-0.738529695	0.221624549	3.272812009	2.919277944	3.72221207	3.94683541	NON	A1
MvSl-1064-A1-R4_MC13g11671	Auto	Auto	0.01482	0.00748	0.00015	0.00007	98.7342	913028	914209	5.33033246	-0.526049722	0.224198084	5.106790927	4.977397205	5.550869406	5.585537747	NON	A1
MvSl-1064-A1-R4_MC01-1g01926	Auto	Auto	0.01001	0.00505	0.01699	0.00994	0.589167	297740	299297	4.487147199	-0.612440303	0.225257869	4.233487869	4.059117722	4.642924931	4.865846229	NON	A1
MvSl-1064-A1-R4_MC01-1g01903	Auto	Auto	0.00612	0.00443	0.02636	0.01918	0.232169	263259	265900	0.330694921	-1.243948796	0.228082201	-0.350879619	-0.392490783	1.095444864	0.351243905	NON	A1
MvSl-1064-A1-R4_MC09-2g09328	Auto	Auto	0.00274	0.00195	0.00849	0.00606	0.322729	1041700	1042055	0.108346871	-1.422675242	0.228082201	-0.559839611	-0.843691691	-0.205051883	1.095642352	NON	A1
MvSl-1064-A1-R4_MC02g03751	Auto	Auto	0.00701	0.00351	0.00339	0.00337	2.06779	1411276	1413415	6.086626617	-0.462652455	0.229052007	5.913039599	5.756474011	6.340899377	6.25551459	NON	A1
MvSl-1064-A1-R4_MC06g07287	Auto	Auto	0.00526	0.00235	0.00986	0.00493	0.533463	1178498	1181711	2.909998769	-0.795090768	0.229327014	2.428487343	2.490826715	3.468204796	2.98094086	NON	A1
MvSl-1064-A1-R4_MC06g07232	Auto	Auto	0.00001	0	0.0105	0.00092	0.000952372	1026790	1026942	5.340339012	0.564980522	0.229717685	5.401987558	5.765997738	5.171717428	4.877018939	NON	A1
MvSl-1064-A1-R4_MC03g04656	Auto	Auto	0.01993	0.00707	0.00693	0.00689	2.87586	982153	985820	1.550066369	-0.938724933	0.230669044	1.074306522	0.954753039	1.824591191	2.014811714	NON	A1
