gida1	a1GC0	a1GC3	gencomp	youngold	DE	haploid
MvSl-1064-A1-R4_MC04-1g05911	64.81	66.67	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC14g11898	55.46	57.52	Auto	Auto	Up	A1
MvSl-1064-A1-R4_A1g00254	56.25	64.14	Black	OldStrata	Up	A1
MvSl-1064-A1-R4_A1g01212	58.11	72.37	Black	OldStrata	Up	A1
MvSl-1064-A1-R4_MC06g06944	56.72	58.58	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC05-2g06432	54.76	58.06	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC06g07412	56.28	67.84	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC01-1g02598	45.08	48.86	Auto	Auto	Up	A1
MvSl-1064-A1-R4_A1g00495	60.74	63.56	Blue	OldStrata	Up	A1
MvSl-1064-A1-R4_A1g00448	57	69.26	Black	OldStrata	Up	A1
MvSl-1064-A1-R4_A1g01261	59.61	66.62	Orange	ColorStrata	Up	A1
MvSl-1064-A1-R4_MC03g04807	51.21	59.42	Auto	Auto	Up	A1
MvSl-1064-A1-R4_A1g00641	53.7	62.96	Black	OldStrata	Up	A1
MvSl-1064-A1-R4_A1g00389	55.35	64.51	Red	ColorStrata	Up	A1
MvSl-1064-A1-R4_MC13g11331	57.49	64.85	Auto	Auto	Up	A1
MvSl-1064-A1-R4_A1g00163	51.25	53.75	Black	OldStrata	Up	A1
MvSl-1064-A1-R4_A1g00252	53.47	60.2	Black	OldStrata	Up	A1
MvSl-1064-A1-R4_MC02g03498	55.56	60	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC08g08318	56.58	70.75	Auto	Auto	Up	A1
MvSl-1064-A1-R4_A1g00107	54.23	59.55	Black	OldStrata	Up	A1
MvSl-1064-A1-R4_MC08g08647	54.74	59.74	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC06g06946	55.45	66.34	Auto	Auto	Up	A1
MvSl-1064-A1-R4_A1g00081	53.48	62.09	Black	OldStrata	Up	A1
MvSl-1064-A1-R4_MC06g07033	52.73	58.27	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC06g06945	55.7	64.39	Auto	Auto	Up	A1
MvSl-1064-A1-R4_A1g00997	56.97	57.87	Blue	OldStrata	Up	A1
MvSl-1064-A1-R4_MC06g06947	50.33	60.78	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC12g10810	51.11	64.44	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC11g10358	54.91	60	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC04-1g05502	51.6	53.42	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC05-1g06212	60.23	60.53	Auto	Auto	Up	A1
MvSl-1064-A1-R4_A1g00312	57.71	66.25	Black	OldStrata	Up	A1
MvSl-1064-A1-R4_A1g00635	51.78	53.9	Black	OldStrata	Up	A1
