target_id	est_counts	est_counts	mean_oldcounts	tpm	tpm	target_id	est_counts	est_counts	mean_newcounts	tpm	tpm	ratio_a2_oldnew
MvSl-1064-A2-R4_A2g00115	0.4	0	0.2	0	0.206096	MvSl-1064-A2-R4_A2g00115	0	0	0	0	0	2000000
MvSl-1064-A2-R4_MC12g11500	0.4	0	0.2	0	0.206096	MvSl-1064-A2-R4_MC12g11500	0	0	0	0	0	2000000
MvSl-1064-A2-R4_A2g00640	0	8.33164	4.16582	0.035036	0	MvSl-1064-A2-R4_A2g00640	0	4.87E-06	2.43371E-06	1.40E-08	0	1644161.416
MvSl-1064-A2-R4_MC05g06568	0.269998	0	0.134999	0	0.00154817	MvSl-1064-A2-R4_MC05g06568	2.62E-08	0	1.31051E-08	0	9.80E-11	1193571.817
MvSl-1064-A2-R4_C22g01858	0	0.204126	0.102063	0.0156532	0	MvSl-1064-A2-R4_C22g01858	0	0	0	0	0	1020630
MvSl-1064-A2-R4_MC14g12254	0	0.204126	0.102063	0.0156532	0	MvSl-1064-A2-R4_MC14g12254	0	0	0	0	0	1020630
MvSl-1064-A2-R4_A2g01175	0	0.0298812	0.0149406	0.000486709	0	MvSl-1064-A2-R4_A2g01175	0	0	0	0	0	149406
MvSl-1064-A2-R4_MC14g12065	14337.8	11406.9	12872.35	143.344	167.174	MvSl-1064-A2-R4_MC14g12065	0	11.1951	5.59755	0.11282	0	2299.63998
MvSl-1064-A2-R4_A2g01314	2.52107	6.06903	4.29505	0.10819	0.0417106	MvSl-1064-A2-R4_A2g01314	0.00403856	6.14E-08	0.002019311	8.49E-10	5.04E-05	2126.882874
MvSl-1064-A2-R4_MC07g08226	875	934	904.5	108.053	93.6715	MvSl-1064-A2-R4_MC07g08226	0	1	0.5	0.223474	0	1808.999638
MvSl-1064-A2-R4_MC06-1g07234	441225	430217	435721	1610.2	1531.53	MvSl-1064-A2-R4_MC06-1g07234	189.042	361.783	275.4125	1.31026	0.61968	1582.066899
MvSl-1064-A2-R4_MC03g05038	722.753	627.5	675.1265	19.8978	21.2684	MvSl-1064-A2-R4_MC03g05038	1.13581	0	0.567905	0	0.0824846	1188.801615
MvSl-1064-A2-R4_A2g00096	4.43665	4.84E-08	2.218325024	5.14E-10	0.0437759	MvSl-1064-A2-R4_A2g00096	0.00430217	0	0.002151085	0	3.46E-05	1031.210716
MvSl-1064-A2-R4_A2g00107	4.43665	4.84E-08	2.218325024	5.14E-10	0.0437759	MvSl-1064-A2-R4_A2g00107	0.00430217	0	0.002151085	0	3.46E-05	1031.210716
MvSl-1064-A2-R4_A2g00494	3633.4	3885.91	3759.655	558.996	480.373	MvSl-1064-A2-R4_A2g00494	4.91787	4.67327	4.79557	1.05087	1.07733	783.9849948
MvSl-1064-A2-R4_MC01g03220	16.5228	0.198714	8.360757	0.000702724	0.0541886	MvSl-1064-A2-R4_MC01g03220	0.00543039	0.0282899	0.016860145	7.36E-05	1.28E-05	495.8858546
MvSl-1064-A2-R4_MC02g03458	203.337	246.138	224.7375	8.72414	6.68228	MvSl-1064-A2-R4_MC02g03458	0	1.00098	0.50049	0.101606	0	449.034856
MvSl-1064-A2-R4_A2g00619	580.039	975.626	777.8325	10.2384	5.64719	MvSl-1064-A2-R4_A2g00619	1	4	2.5	0.0370859	0.00837143	311.1329876
MvSl-1064-A2-R4_A2g00966	715.712	866.566	791.139	27.0197	20.7175	MvSl-1064-A2-R4_A2g00966	0	5.32063	2.660315	0.488488	0	297.3854488
MvSl-1064-A2-R4_MC07g08074	63661.9	39207.8	51434.85	336.942	507.512	MvSl-1064-A2-R4_MC07g08074	193.033	200.195	196.614	1.53081	1.33368	261.6031919
MvSl-1064-A2-R4_A2g01616	54.0211	80.0385	67.0298	6.24895	3.9354	MvSl-1064-A2-R4_A2g01616	1.00332	0	0.50166	0	0.115908	133.6159683
MvSl-1064-A2-R4_MC14g12159	61.5222	103.481	82.5016	5.3827	2.9751	MvSl-1064-A2-R4_MC14g12159	1.32322	0	0.66161	0	0.152864	124.6982173
MvSl-1064-A2-R4_MC06-2g07559	13344.3	6593.03	9968.665	152.575	286.688	MvSl-1064-A2-R4_MC06-2g07559	55.1687	109.127	82.14785	2.48318	1.13024	121.3502847
MvSl-1064-A2-R4_A2g01019	69.1297	75.0443	72.087	35.5743	31.3885	MvSl-1064-A2-R4_A2g01019	0	1.25465	0.627325	0.402896	0	114.9117101
MvSl-1064-A2-R4_A2g00483	2423.59	2166.71	2295.15	42.4521	44.0753	MvSl-1064-A2-R4_A2g00483	24.5758	21.1365	22.85615	4.01132	4.38251	100.4171739
MvSl-1064-A2-R4_MC10g09855	866.607	902.655	884.631	253.609	230.902	MvSl-1064-A2-R4_MC10g09855	0	19.8172	9.9086	13.8887	0	89.27911017
MvSl-1064-A2-R4_A2g01058	1111.07	1617.29	1364.18	45.1536	28.8389	MvSl-1064-A2-R4_A2g01058	9.14401	21.4856	15.314805	1.04923	0.402469	89.07589689
MvSl-1064-A2-R4_A2g01032	848.853	852.033	850.443	122.567	112.227	MvSl-1064-A2-R4_A2g01032	5.25304	14.0204	9.63672	3.07807	1.1123	88.25025436
MvSl-1064-A2-R4_A2g01146	50	36	43	2.70956	3.51118	MvSl-1064-A2-R4_A2g01146	1.00916	0	0.50458	0	0.163121	85.21937349
MvSl-1064-A2-R4_A2g01232	2540.3	4741.6	3640.95	20.5212	10.1965	MvSl-1064-A2-R4_A2g01232	40.8474	53.6497	47.24855	0.192983	0.13299	77.05950748
MvSl-1064-A2-R4_C25g01884	0.00840552	0.00622303	0.007314275	2.30E-05	2.89E-05	MvSl-1064-A2-R4_C25g01884	0.000206081	0	0.000103041	0	5.05E-07	70.91564419
MvSl-1064-A2-R4_MC04-1g06108	358.216	2050.88	1204.548	53.5451	8.6882	MvSl-1064-A2-R4_MC04-1g06108	20.1546	14.6646	17.4096	0.48293	0.596068	69.18872307
MvSl-1064-A2-R4_MC10g10144	150	188	169	38.7187	29.0465	MvSl-1064-A2-R4_MC10g10144	4	1	2.5	0.330435	1.24979	67.5999973
MvSl-1064-A2-R4_A2g00509	79.7451	46.6237	63.1844	1.41176	2.24273	MvSl-1064-A2-R4_A2g00509	1.42211	0.781971	1.1020405	0.0216319	0.0353826	57.33400385
MvSl-1064-A2-R4_A2g01407	1081.86	1305.01	1193.435	35.7843	27.5751	MvSl-1064-A2-R4_A2g01407	11.3746	31.3556	21.3651	1.53121	0.500646	55.85908769
MvSl-1064-A2-R4_A2g00926	44.2305	43.0784	43.65445	5.5774	5.30797	MvSl-1064-A2-R4_A2g00926	0	1.71815	0.859075	0.496707	0	50.81563882
MvSl-1064-A2-R4_MC07g08291	9959.16	9974.83	9966.995	43.3736	40.1633	MvSl-1064-A2-R4_MC07g08291	217.044	233.17	225.107	0.817329	0.688641	44.27669951
MvSl-1064-A2-R4_A2g00194	143.82	237.663	190.7415	20.5995	11.6194	MvSl-1064-A2-R4_A2g00194	4	5	4.5	0.874086	0.661516	42.38699906
MvSl-1064-A2-R4_MC05g06731	111	61	86	5.83822	9.91394	MvSl-1064-A2-R4_MC05g06731	1.0294	3.06545	2.047425	1.40148	0.416208	42.00397856
MvSl-1064-A2-R4_MC05g06472	18	22	20	0.590034	0.448583	MvSl-1064-A2-R4_MC05g06472	0	1	0.5	0.0309113	0	39.999992
MvSl-1064-A2-R4_MC04-1g05568	18	44	31	4.16277	1.58643	MvSl-1064-A2-R4_MC04-1g05568	0	2	1	0.305792	0	30.9999969
MvSl-1064-A2-R4_MC12g11434	18.4105	12.334	15.37225	0.35806	0.496375	MvSl-1064-A2-R4_MC12g11434	0	1.00546	0.50273	0.0694986	0	30.57754051
MvSl-1064-A2-R4_MC11g10852	297	250	273.5	110.251	128.002	MvSl-1064-A2-R4_MC11g10852	8	10	9	4.88861	3.53848	30.38888855
MvSl-1064-A2-R4_MC03g05384	14.5715	16.1039	15.3377	1.40201	1.18157	MvSl-1064-A2-R4_MC03g05384	1.01292	0	0.50646	0	0.106694	30.28412307
MvSl-1064-A2-R4_MC01g02057	138.826	163.438	151.132	3.06139	2.41353	MvSl-1064-A2-R4_MC01g02057	3.6896	6.32726	5.00843	0.142344	0.0746783	30.17552346
MvSl-1064-A2-R4_MC01g03253	498.046	471.974	485.01	4.72034	4.62106	MvSl-1064-A2-R4_MC01g03253	10.6866	21.7732	16.2299	0.20187	0.0894622	29.88373293
MvSl-1064-A2-R4_MC04-1g05689	140.551	147.405	143.978	0.441473	0.390377	MvSl-1064-A2-R4_MC04-1g05689	3.56114	6.32046	4.9408	0.0195009	0.00994702	29.14062441
MvSl-1064-A2-R4_MC06-1g07170	1369.11	1756.58	1562.845	8.21447	5.93806	MvSl-1064-A2-R4_MC06-1g07170	30.3441	83.8225	57.0833	0.289715	0.0949324	27.37832251
MvSl-1064-A2-R4_C27g01904	467.983	458.224	463.1035	73.5147	69.5148	MvSl-1064-A2-R4_C27g01904	23.4125	10.9485	17.1805	3.01463	6.24549	26.95518159
MvSl-1064-A2-R4_MC12g11402	11.5048	16.6698	14.0873	2.59342	1.6469	MvSl-1064-A2-R4_MC12g11402	1.11338	0	0.55669	0	0.450161	25.30546169
MvSl-1064-A2-R4_MC05g06544	11.7943	18.4568	15.12555	0.157069	0.0931081	MvSl-1064-A2-R4_MC05g06544	0	1.2094	0.6047	0.00870907	0	25.01330825
MvSl-1064-A2-R4_MC01g02936	9.3478	23.6331	16.49045	11.2031	4.24439	MvSl-1064-A2-R4_MC01g02936	0.75	0.570312	0.660156	0.543873	0.532694	24.97962224
MvSl-1064-A2-R4_MC18g12516	1217.58	1092.7	1155.14	7.64579	7.90256	MvSl-1064-A2-R4_MC18g12516	93.8651	0	46.93255	0	0.662128	24.6127687
MvSl-1064-A2-R4_MC01g03426	1383	1747	1565	105.148	77.3401	MvSl-1064-A2-R4_MC01g03426	48	80	64	22.0278	12.8044	24.45312496
MvSl-1064-A2-R4_A2g01007	2.06598	7.29587	4.680925	0.148192	0.0389517	MvSl-1064-A2-R4_A2g01007	0	0.387697	0.1938485	0.00570558	0	24.14732425
MvSl-1064-A2-R4_MC01g02066	79.2	121.098	100.149	17.4203	10.4711	MvSl-1064-A2-R4_MC01g02066	2.16667	6.18182	4.174245	1.22444	0.405522	23.99212255
MvSl-1064-A2-R4_MC03g05217	983.641	980.269	981.955	25.7144	23.9705	MvSl-1064-A2-R4_MC03g05217	57.9086	28.2968	43.1027	1.29414	2.38557	22.78175144
