genea1	dNa1	dNa1se	dSa1	dSa1se	dNdSa1	chr	chrom	DE	a1expmean	haploid
MvSl-1064-A1-R4_MC01-1g01987	0.00676	0.0029	0.00656	0.00415	1.03047	aAutosome	aAutosome	NON	9.9458	A1
MvSl-1064-A1-R4_MC01-1g02000	0.00378	0.0019	0.01353	0.00557	0.279377	aAutosome	aAutosome	NON	7.05336	A1
MvSl-1064-A1-R4_MC01-1g02011	0.00664	0.00471	0.00007	0	94.7218	aAutosome	aAutosome	NON	8.88346	A1
MvSl-1064-A1-R4_MC01-1g02017	0.00001	0.00005	0.00737	0.00752	0.00135683	aAutosome	aAutosome	NON	6.65096	A1
MvSl-1064-A1-R4_MC01-1g02018	0.00199	0.00115	0.00291	0.00205	0.683825	aAutosome	aAutosome	NON	5.33817	A1
MvSl-1064-A1-R4_MC01-1g02020	0.00085	0.00085	0.007	0.00352	0.121427	aAutosome	aAutosome	NON	6.08587	A1
MvSl-1064-A1-R4_MC01-1g02029	0.00178	0.00178	0.00002	0.00008	88.5572	aAutosome	aAutosome	NON	7.40765	A1
MvSl-1064-A1-R4_MC01-1g02032	0.007	0.00405	0.00007	0.00025	99.8573	aAutosome	aAutosome	NON	7.33278	A1
MvSl-1064-A1-R4_MC01-1g02033	0.01208	0.00495	0.01004	0.0071	1.20318	aAutosome	aAutosome	NON	6.09032	A1
MvSl-1064-A1-R4_MC01-1g02039	0.00479	0.00215	0.01184	0.00533	0.404557	aAutosome	aAutosome	NON	7.15803	A1
MvSl-1064-A1-R4_MC01-1g02053	0.00438	0.00312	0.00391	0.00395	1.12018	aAutosome	aAutosome	NON	4.16064	A1
MvSl-1064-A1-R4_MC01-1g02054	0	0	0.00461	0	0	aAutosome	aAutosome	NON	6.23026	A1
MvSl-1064-A1-R4_MC01-1g02055	0.00002	0	0.02462	0.00466	0.000812344	aAutosome	aAutosome	NON	2.34752	A1
MvSl-1064-A1-R4_MC01-1g02056	0.01065	0.00509	0.00674	0.00453	1.5801	aAutosome	aAutosome	NON	3.394	A1
MvSl-1064-A1-R4_MC01-1g02057	0.00519	0.00256	0.00265	0.0025	1.95842	aAutosome	aAutosome	NON	5.82361	A1
MvSl-1064-A1-R4_MC01-1g02060	0.00272	0.00193	0.01545	0.00776	0.176051	aAutosome	aAutosome	NON	5.19613	A1
MvSl-1064-A1-R4_MC01-1g02062	0.00002	0	0.02267	0.00177	0.000882219	aAutosome	aAutosome	NON	6.25984	A1
MvSl-1064-A1-R4_MC01-1g02067	0.00386	0.00224	0.00004	0.00017	96.2594	aAutosome	aAutosome	NON	4.98697	A1
MvSl-1064-A1-R4_MC01-1g02068	0.00815	0.00577	0.00008	0.00044	101.748	aAutosome	aAutosome	NON	6.202	A1
MvSl-1064-A1-R4_MC01-1g02072	0.00113	0.00113	0.00308	0.00309	0.366871	aAutosome	aAutosome	NON	6.38417	A1
MvSl-1064-A1-R4_MC01-1g02073	0	0	0.00001	0	0	aAutosome	aAutosome	NON	6.83389	A1
MvSl-1064-A1-R4_MC01-1g02081	0.0044	0.00311	0.00742	0.00739	0.592984	aAutosome	aAutosome	NON	5.97618	A1
MvSl-1064-A1-R4_MC01-1g02102	0.00003	0	0.03375	0.0046	0.000888886	aAutosome	aAutosome	NON	6.98631	A1
MvSl-1064-A1-R4_MC01-1g02103	0	0.00002	0.00002	0	0	aAutosome	aAutosome	NON	6.71342	A1
